Respondent,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,WebFrameWorkedWith,WebFrameDesireNextYear,DevEnviron
166,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,PostgreSQL,AWS,AWS,jQuery,React.js,Vim
173,HTML/CSS,JavaScript,Elasticsearch,Elasticsearch,AWS,AWS,Angular/Angular.js,Angular/Angular.js,PHPStorm
174,Bash/Shell/PowerShell,C,Firebase,Microsoft SQL Server,Android,Android,Angular/Angular.js,Django,Android Studio
176,C,C++,MongoDB,MongoDB,Android,Android,Angular/Angular.js,Angular/Angular.js,Atom
177,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Android,Android,ASP.NET,ASP.NET,PyCharm
179,HTML/CSS,C#,Firebase,Couchbase,Android,Android,React.js,React.js,Android Studio
181,HTML/CSS,HTML/CSS,Microsoft SQL Server,Elasticsearch,iOS,AWS,Angular/Angular.js,Express,IntelliJ
183,Dart,Dart,Firebase,Other(s):,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
184,Bash/Shell/PowerShell,C,SQLite,Elasticsearch,Android,Linux,Other(s):,Angular/Angular.js,Android Studio
188,C#,C++,Microsoft SQL Server,MongoDB,Windows,Linux,ASP.NET,ASP.NET,PyCharm
189,C++,Go,MySQL,Cassandra,AWS,AWS,Angular/Angular.js,Flask,IPython / Jupyter
190,Java,HTML/CSS,Elasticsearch,Cassandra,AWS,AWS,Angular/Angular.js,Django,Atom
191,C#,Bash/Shell/PowerShell,Microsoft SQL Server,MongoDB,AWS,Linux,Angular/Angular.js,Angular/Angular.js,Vim
192,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Docker,Docker,Django,Django,Vim
194,Assembly,Bash/Shell/PowerShell,MySQL,Elasticsearch,Arduino,Linux,jQuery,Angular/Angular.js,IntelliJ
196,C#,F#,Microsoft SQL Server,Elasticsearch,Windows,AWS,ASP.NET,React.js,Notepad++
201,Bash/Shell/PowerShell,Go,Microsoft SQL Server,Cassandra,Docker,Android,Django,Angular/Angular.js,IntelliJ
202,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,MongoDB,Google Cloud Platform,Docker,Angular/Angular.js,Angular/Angular.js,Sublime Text
207,Java,Dart,Firebase,Firebase,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
209,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,MySQL,Linux,AWS,Angular/Angular.js,Angular/Angular.js,Atom
211,C#,Other(s):,Microsoft SQL Server,Elasticsearch,Android,Android,ASP.NET,ASP.NET,Android Studio
212,C#,HTML/CSS,MariaDB,MariaDB,Android,Arduino,jQuery,jQuery,Android Studio
213,Go,Go,DynamoDB,DynamoDB,AWS,AWS,Django,Django,Notepad++
216,Go,C,PostgreSQL,PostgreSQL,AWS,Arduino,Spring,Angular/Angular.js,IntelliJ
217,Go,Go,MongoDB,MongoDB,Heroku,Android,jQuery,React.js,Atom
219,C#,Bash/Shell/PowerShell,Microsoft SQL Server,Elasticsearch,Windows,Android,ASP.NET,Angular/Angular.js,Notepad++
220,C#,C#,Microsoft SQL Server,MongoDB,Microsoft Azure,Android,ASP.NET,Angular/Angular.js,Visual Studio
223,Java,Java,SQLite,SQLite,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
224,Go,Go,MySQL,PostgreSQL,Docker,Docker,Angular/Angular.js,Angular/Angular.js,Vim
227,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,MongoDB,Android,Docker,Flask,Drupal,Atom
231,Elixir,Elixir,Elasticsearch,Elasticsearch,Google Cloud Platform,Google Cloud Platform,Ruby on Rails,Ruby on Rails,RubyMine
232,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,SQLite,Android,Android,ASP.NET,ASP.NET,Android Studio
234,Bash/Shell/PowerShell,Clojure,MySQL,MongoDB,Docker,Docker,Angular/Angular.js,Flask,Emacs
238,HTML/CSS,Go,MySQL,Elasticsearch,iOS,Android,jQuery,Express,PHPStorm
241,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,MongoDB,Microsoft Azure,Linux,jQuery,jQuery,Sublime Text
245,C#,C#,Microsoft SQL Server,MongoDB,Windows,Windows,Angular/Angular.js,Angular/Angular.js,Visual Studio
246,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Arduino,Angular/Angular.js,ASP.NET,IntelliJ
247,C++,C++,Microsoft SQL Server,Elasticsearch,Android,Windows,Angular/Angular.js,Angular/Angular.js,Notepad++
249,Bash/Shell/PowerShell,Python,Microsoft SQL Server,Elasticsearch,Linux,Linux,ASP.NET,Angular/Angular.js,Eclipse
252,HTML/CSS,JavaScript,Microsoft SQL Server,PostgreSQL,AWS,AWS,Ruby on Rails,Ruby on Rails,Atom
253,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,PostgreSQL,AWS,AWS,React.js,jQuery,Vim
254,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Docker,Angular/Angular.js,Angular/Angular.js,Visual Studio
259,C#,C#,Microsoft SQL Server,Other(s):,AWS,Microsoft Azure,Angular/Angular.js,Angular/Angular.js,Coda
261,HTML/CSS,Swift,Firebase,Firebase,Android,Android,React.js,React.js,Android Studio
262,C++,JavaScript,Couchbase,Couchbase,Android,Arduino,Angular/Angular.js,Angular/Angular.js,Android Studio
268,C,Go,MySQL,Elasticsearch,AWS,AWS,Laravel,Django,PHPStorm
271,C#,C#,Microsoft SQL Server,Elasticsearch,Microsoft Azure,Android,Angular/Angular.js,Angular/Angular.js,Notepad++
273,Bash/Shell/PowerShell,Elixir,MongoDB,Other(s):,Docker,Google Cloud Platform,Angular/Angular.js,Other(s):,IntelliJ
275,C#,Assembly,DynamoDB,Cassandra,Android,Docker,Angular/Angular.js,Flask,Android Studio
276,HTML/CSS,Java,MySQL,Elasticsearch,AWS,AWS,React.js,React.js,IntelliJ
277,Bash/Shell/PowerShell,C++,MongoDB,MongoDB,Linux,Linux,Flask,Django,Visual Studio Code
279,HTML/CSS,Go,MySQL,MySQL,AWS,AWS,Django,Django,Notepad++
280,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Windows,Angular/Angular.js,Angular/Angular.js,Notepad++
283,HTML/CSS,Go,Microsoft SQL Server,Elasticsearch,Docker,Docker,Angular/Angular.js,Angular/Angular.js,Atom
285,C#,C#,Microsoft SQL Server,MongoDB,Windows,Android,Angular/Angular.js,Angular/Angular.js,Atom
286,Dart,HTML/CSS,DynamoDB,DynamoDB,AWS,AWS,Vue.js,React.js,Visual Studio Code
289,C++,Rust,MySQL,MySQL,Linux,Android,jQuery,Angular/Angular.js,PHPStorm
292,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,PostgreSQL,Google Cloud Platform,Docker,ASP.NET,Express,Visual Studio
293,HTML/CSS,Go,Firebase,Firebase,Docker,Android,Spring,Express,Android Studio
301,C++,Clojure,MongoDB,Firebase,AWS,Android,Angular/Angular.js,Express,Android Studio
302,Bash/Shell/PowerShell,C++,Elasticsearch,Redis,Docker,Docker,ASP.NET,React.js,Sublime Text
304,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Couchbase,DynamoDB,AWS,AWS,Vue.js,Vue.js,IPython / Jupyter
305,C#,C#,Microsoft SQL Server,Elasticsearch,Docker,Docker,ASP.NET,ASP.NET,IntelliJ
306,C,HTML/CSS,PostgreSQL,PostgreSQL,AWS,AWS,Angular/Angular.js,Flask,PyCharm
308,HTML/CSS,HTML/CSS,PostgreSQL,SQLite,Heroku,AWS,Express,Express,Atom
310,C#,C#,MongoDB,Microsoft SQL Server,Android,Android,ASP.NET,ASP.NET,Notepad++
311,Assembly,C++,MongoDB,Cassandra,Arduino,Android,ASP.NET,Angular/Angular.js,NetBeans
312,Bash/Shell/PowerShell,Java,PostgreSQL,PostgreSQL,AWS,AWS,Ruby on Rails,Ruby on Rails,Atom
316,Bash/Shell/PowerShell,Java,Elasticsearch,Elasticsearch,Android,Android,Angular/Angular.js,Express,Android Studio
317,Java,Java,PostgreSQL,Cassandra,Docker,AWS,Spring,Spring,IntelliJ
319,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Docker,AWS,Angular/Angular.js,Express,Coda
321,HTML/CSS,JavaScript,Elasticsearch,Elasticsearch,AWS,AWS,jQuery,jQuery,RubyMine
322,C#,Swift,Microsoft SQL Server,PostgreSQL,Android,AWS,ASP.NET,Django,Visual Studio
324,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Android,Android,Angular/Angular.js,Angular/Angular.js,Sublime Text
326,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,Firebase,AWS,Google Cloud Platform,Angular/Angular.js,Flask,RStudio
328,HTML/CSS,Bash/Shell/PowerShell,MongoDB,Cassandra,Android,Android,Express,Express,Atom
329,C,F#,Microsoft SQL Server,Microsoft SQL Server,iOS,Android,Angular/Angular.js,Angular/Angular.js,Visual Studio
330,Java,Java,Oracle,Elasticsearch,Android,Android,Laravel,Angular/Angular.js,Android Studio
332,Bash/Shell/PowerShell,Bash/Shell/PowerShell,SQLite,Redis,iOS,iOS,React.js,React.js,Atom
333,Python,Clojure,MongoDB,PostgreSQL,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Emacs
334,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,DynamoDB,AWS,AWS,Flask,Flask,PyCharm
335,C#,C#,Microsoft SQL Server,Microsoft SQL Server,iOS,iOS,ASP.NET,Angular/Angular.js,IntelliJ
338,Bash/Shell/PowerShell,C,MariaDB,MariaDB,Linux,Android,Angular/Angular.js,Django,Atom
340,C#,C#,Microsoft SQL Server,MongoDB,Windows,Docker,ASP.NET,Angular/Angular.js,Vim
341,C++,C++,Microsoft SQL Server,Microsoft SQL Server,Arduino,Arduino,ASP.NET,Angular/Angular.js,Notepad++
345,Java,Java,MongoDB,DynamoDB,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Eclipse
351,Assembly,C,Microsoft SQL Server,Elasticsearch,Android,Android,Spring,Angular/Angular.js,Eclipse
352,HTML/CSS,Elixir,MySQL,MySQL,Heroku,Google Cloud Platform,React.js,React.js,Visual Studio Code
354,HTML/CSS,Go,Elasticsearch,DynamoDB,Android,Android,Angular/Angular.js,Express,Android Studio
356,HTML/CSS,Go,MongoDB,Elasticsearch,Android,Android,Django,Django,PyCharm
357,HTML/CSS,HTML/CSS,MongoDB,PostgreSQL,MacOS,MacOS,React.js,React.js,Vim
364,Bash/Shell/PowerShell,Go,DynamoDB,MongoDB,AWS,Kubernetes,Angular/Angular.js,Angular/Angular.js,PHPStorm
372,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Elasticsearch,Linux,AWS,jQuery,Angular/Angular.js,NetBeans
373,C#,Dart,Microsoft SQL Server,Firebase,Android,Android,ASP.NET,Spring,Android Studio
374,HTML/CSS,JavaScript,PostgreSQL,Elasticsearch,AWS,AWS,Flask,Django,IPython / Jupyter
375,Bash/Shell/PowerShell,Kotlin,MySQL,MySQL,Other(s):,Other(s):,Django,Django,Android Studio
378,C#,C#,MariaDB,MariaDB,Android,Android,Angular/Angular.js,Angular/Angular.js,Visual Studio
382,C#,HTML/CSS,MariaDB,MariaDB,MacOS,MacOS,jQuery,Angular/Angular.js,NetBeans
383,Bash/Shell/PowerShell,JavaScript,MongoDB,MongoDB,AWS,AWS,Angular/Angular.js,React.js,Atom
384,Bash/Shell/PowerShell,Assembly,Elasticsearch,Elasticsearch,Docker,Docker,React.js,Angular/Angular.js,Visual Studio Code
388,C,C,MongoDB,MongoDB,AWS,AWS,Express,Express,Eclipse
389,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,DynamoDB,iOS,Android,React.js,React.js,RubyMine
392,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,MongoDB,Android,Android,ASP.NET,Angular/Angular.js,IPython / Jupyter
394,C#,Elixir,Microsoft SQL Server,Cassandra,Docker,AWS,ASP.NET,Angular/Angular.js,Sublime Text
395,HTML/CSS,HTML/CSS,Elasticsearch,Elasticsearch,Android,Android,jQuery,jQuery,Android Studio
398,Bash/Shell/PowerShell,C,MariaDB,Microsoft SQL Server,Linux,Kubernetes,Angular/Angular.js,jQuery,Notepad++
400,Bash/Shell/PowerShell,C++,Microsoft SQL Server,Elasticsearch,Android,Android,jQuery,Angular/Angular.js,Android Studio
401,JavaScript,C#,MySQL,Elasticsearch,AWS,AWS,jQuery,Django,Vim
402,C#,C#,Oracle,Oracle,Windows,Android,Angular/Angular.js,Angular/Angular.js,Visual Studio
404,C#,C#,Firebase,Microsoft SQL Server,Android,Android,Angular/Angular.js,ASP.NET,Android Studio
405,Java,Java,Microsoft SQL Server,Elasticsearch,Android,Android,Angular/Angular.js,Angular/Angular.js,IntelliJ
406,HTML/CSS,HTML/CSS,MongoDB,Firebase,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
408,Assembly,Assembly,Couchbase,Elasticsearch,Android,Android,Angular/Angular.js,React.js,Android Studio
410,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Docker,Arduino,ASP.NET,ASP.NET,Notepad++
411,C,Bash/Shell/PowerShell,MySQL,MySQL,Linux,Android,jQuery,Angular/Angular.js,Eclipse
413,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,DynamoDB,AWS,AWS,jQuery,React.js,PHPStorm
414,Bash/Shell/PowerShell,C++,MySQL,Elasticsearch,Android,Docker,Django,React.js,Android Studio
416,C,C#,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,ASP.NET,ASP.NET,Notepad++
421,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,DynamoDB,AWS,Arduino,jQuery,React.js,Visual Studio Code
424,C,C++,Oracle,Elasticsearch,Arduino,Docker,Angular/Angular.js,Angular/Angular.js,PyCharm
426,Java,Java,MySQL,Cassandra,Android,Android,jQuery,jQuery,Android Studio
427,C#,Bash/Shell/PowerShell,Microsoft SQL Server,Elasticsearch,Microsoft Azure,Docker,ASP.NET,ASP.NET,Notepad++
428,Bash/Shell/PowerShell,Java,Oracle,PostgreSQL,Linux,AWS,Spring,Spring,IntelliJ
429,C#,Python,Microsoft SQL Server,Elasticsearch,Windows,Android,ASP.NET,Django,Visual Studio
432,HTML/CSS,HTML/CSS,DynamoDB,MariaDB,Android,AWS,Angular/Angular.js,Angular/Angular.js,Eclipse
434,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,AWS,Microsoft Azure,ASP.NET,ASP.NET,Sublime Text
435,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,Cassandra,Docker,AWS,ASP.NET,ASP.NET,Atom
436,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Couchbase,Android,Android,jQuery,Laravel,Android Studio
437,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,Angular/Angular.js,Angular/Angular.js,Visual Studio
439,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MongoDB,Android,AWS,Angular/Angular.js,Angular/Angular.js,IntelliJ
443,HTML/CSS,HTML/CSS,Microsoft SQL Server,Firebase,Android,Android,React.js,Express,Visual Studio Code
445,C#,C#,Microsoft SQL Server,MongoDB,Android,Android,ASP.NET,ASP.NET,Visual Studio
447,Bash/Shell/PowerShell,F#,MySQL,Cassandra,Arduino,Arduino,Django,Spring,IntelliJ
450,C#,Go,Microsoft SQL Server,Elasticsearch,Docker,Docker,Angular/Angular.js,Angular/Angular.js,Visual Studio Code
452,SQL,Python,Microsoft SQL Server,MongoDB,Windows,AWS,Angular/Angular.js,ASP.NET,Notepad++
453,C++,C#,MongoDB,Microsoft SQL Server,Android,Android,ASP.NET,ASP.NET,Notepad++
460,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,Elasticsearch,AWS,AWS,Django,ASP.NET,IntelliJ
462,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Docker,AWS,Flask,Flask,Notepad++
463,HTML/CSS,HTML/CSS,Firebase,Firebase,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
466,HTML/CSS,Dart,MongoDB,Redis,AWS,Android,Drupal,Angular/Angular.js,Atom
467,Java,Kotlin,PostgreSQL,PostgreSQL,AWS,Docker,Spring,Django,IntelliJ
469,Bash/Shell/PowerShell,JavaScript,MariaDB,MongoDB,Linux,AWS,jQuery,Express,Atom
471,Java,Bash/Shell/PowerShell,MongoDB,DynamoDB,AWS,AWS,Express,React.js,Sublime Text
475,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Android,Android,Angular/Angular.js,Angular/Angular.js,Visual Studio
476,HTML/CSS,Go,Firebase,Firebase,AWS,AWS,Laravel,Laravel,PHPStorm
479,C#,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Windows,Microsoft Azure,ASP.NET,Angular/Angular.js,Notepad++
485,Java,Java,MariaDB,MariaDB,AWS,AWS,Angular/Angular.js,Angular/Angular.js,IntelliJ
486,Bash/Shell/PowerShell,Clojure,Elasticsearch,Elasticsearch,Android,Android,Express,Angular/Angular.js,Android Studio
489,C++,C++,PostgreSQL,PostgreSQL,Windows,AWS,Angular/Angular.js,Flask,IPython / Jupyter
497,Dart,Dart,Firebase,Firebase,Android,Android,Angular/Angular.js,Angular/Angular.js,IntelliJ
498,C++,HTML/CSS,PostgreSQL,PostgreSQL,AWS,AWS,Express,Express,IntelliJ
499,Bash/Shell/PowerShell,JavaScript,MariaDB,Elasticsearch,Heroku,Arduino,Angular/Angular.js,Angular/Angular.js,Sublime Text
500,C++,C++,Microsoft SQL Server,Elasticsearch,Arduino,Android,Angular/Angular.js,Angular/Angular.js,Visual Studio
503,Bash/Shell/PowerShell,JavaScript,MySQL,MySQL,AWS,Linux,jQuery,Angular/Angular.js,Sublime Text
510,Python,C++,Elasticsearch,Elasticsearch,AWS,Docker,Django,Django,Vim
520,HTML/CSS,HTML/CSS,Microsoft SQL Server,MongoDB,Windows,AWS,jQuery,Express,Atom
